instance,library,n,method,f1,f2,f3,p95,hv,ood
X-n280-k17,CVRPLIB-X,279,Deterministic AHD,38357.57,42772.4631,2904.724,44070.5975,1.1012,40.1717
X-n280-k17,CVRPLIB-X,279,MO AHD (no fuzzy risk),39529.7374,44132.0814,2988.0178,45117.7748,1.1012,40.6332
X-n280-k17,CVRPLIB-X,279,C-R-EoH,38357.57,42772.4631,2904.724,44070.5975,1.1025,40.1717
X-n284-k15,CVRPLIB-X,283,Classical heuristic,23887.258,26743.3822,1913.3537,27480.8836,1.0564,40.8512
X-n284-k15,CVRPLIB-X,283,Deterministic AHD,23773.7612,26606.0245,1902.9287,27360.4766,1.0942,40.7869
X-n284-k15,CVRPLIB-X,283,MO AHD (no fuzzy risk),24471.3573,27621.6402,2079.1881,28558.9283,1.0994,41.9909
X-n284-k15,CVRPLIB-X,283,C-R-EoH,23793.1636,26561.4794,1871.4373,27353.7478,1.1024,40.374
X-n289-k60,CVRPLIB-X,288,Classical heuristic,107027.5198,120030.287,8896.4354,123615.5103,1.1025,41.5816
X-n289-k60,CVRPLIB-X,288,Deterministic AHD,107027.5198,120030.287,8896.4354,123615.5103,1.1025,41.5816
X-n289-k60,CVRPLIB-X,288,MO AHD (no fuzzy risk),117407.5389,131917.1642,9583.4817,134405.1882,1.1025,41.6132
X-n289-k60,CVRPLIB-X,288,C-R-EoH,107027.5198,120030.287,8896.4354,123615.5103,1.1025,41.5816
X-n294-k50,CVRPLIB-X,293,Classical heuristic,52619.0821,58323.4681,3893.3684,59679.3317,1.1001,39.2364
X-n294-k50,CVRPLIB-X,293,Deterministic AHD,52609.7868,58316.7743,3887.5675,59653.0664,1.1007,39.2383
X-n294-k50,CVRPLIB-X,293,MO AHD (no fuzzy risk),55498.0843,61619.2605,4170.6285,63042.4189,1.1025,39.4627
X-n294-k50,CVRPLIB-X,293,C-R-EoH,52625.1269,58279.8791,3869.7317,59503.2071,1.1025,39.0938
X-n298-k31,CVRPLIB-X,297,Classical heuristic,39104.1416,43027.2261,2771.481,43776.2879,1.0986,37.605
X-n298-k31,CVRPLIB-X,297,Deterministic AHD,39074.6756,43046.0438,2798.1681,43776.1027,1.0997,37.7297
X-n298-k31,CVRPLIB-X,297,MO AHD (no fuzzy risk),40072.5087,44136.2764,2882.3295,44894.291,1.0997,37.59
X-n298-k31,CVRPLIB-X,297,C-R-EoH,39087.4356,43026.415,2794.9095,43701.8624,1.1025,37.6799
