seed,variant,portfolio_size,f1,f2,f3,p95,hv,ood,nominal,portfolio,pack,buffer
24,No stability objective,4,847.8609,938.3068,59.7285,978.3063,1.0915,63.7077,775.4781,4,0.8882,0.3739
24,No robustness buffer,6,851.585,949.6543,63.3294,1004.0028,1.0267,63.6194,775.4781,6,0.7448,0.0
24,No Pareto archive (scalarised),1,847.8609,938.3068,59.7285,978.3063,1.0256,63.7077,775.4781,1,0.8882,0.3739
24,No alpha-cut ensemble (modal only),1,869.275,1061.7013,129.5274,1141.9584,0.3396,84.9833,697.2713,1,1.0103,0.0
25,Full C-R-EoH,3,720.7578,776.7386,36.6624,790.6716,1.0823,29.1356,697.5773,3,0.8647,0.3533
25,No OWA risk objective,4,699.1791,793.6627,57.6967,826.679,1.0823,48.5716,657.5773,4,1.0716,0.4092
25,No stability objective,3,720.7578,776.7386,36.6624,790.6716,1.0823,29.1091,697.5773,3,0.8554,0.3011
25,No robustness buffer,2,720.7745,776.7942,36.6808,790.8689,1.0725,29.182,697.5773,2,0.8153,0.0
25,No Pareto archive (scalarised),1,720.7578,776.7386,36.6624,790.6716,0.9424,29.1091,697.5773,1,0.8554,0.3011
25,No alpha-cut ensemble (modal only),2,700.1051,796.6842,59.3709,831.178,0.9341,48.3751,657.5773,2,0.9438,0.0
26,Full C-R-EoH,4,848.3049,956.1078,65.7693,1021.1038,1.082,52.4581,790.0103,4,0.7389,0.0
26,No OWA risk objective,4,832.3799,991.5123,95.9,1105.8904,1.082,68.5734,750.0103,4,0.8833,0.0
26,No stability objective,2,848.3049,956.1078,65.7693,1021.1038,1.082,52.4581,790.0103,2,0.7389,0.0
26,No robustness buffer,3,848.3049,956.1078,65.7693,1021.1038,1.082,52.4581,790.0103,3,0.7389,0.0
26,No Pareto archive (scalarised),1,848.3049,956.1078,65.7693,1021.1038,1.0039,52.4581,790.0103,1,0.7389,0.0
26,No alpha-cut ensemble (modal only),2,866.8824,1088.4153,136.9987,1215.8904,0.1976,74.5532,726.3639,2,1.0508,0.0
27,Full C-R-EoH,5,770.0194,837.378,44.8537,845.1818,1.1025,50.1138,730.6994,5,1.0847,0.744
27,No OWA risk objective,3,770.0194,837.378,44.8537,845.1818,1.1025,50.1138,730.6994,3,1.0847,0.744
27,No stability objective,1,770.0194,837.378,44.8537,845.1818,1.1025,50.1138,730.6994,1,1.0847,0.744
27,No robustness buffer,5,770.7862,841.0559,46.131,848.0661,1.082,49.9645,730.6994,5,0.8222,0.0
27,No Pareto archive (scalarised),1,770.0194,837.378,44.8537,845.1818,1.1025,50.1138,730.6994,1,1.0847,0.744
27,No alpha-cut ensemble (modal only),1,780.4215,909.9168,86.6604,931.3716,0.7334,62.208,690.6994,1,0.9923,0.0
28,Full C-R-EoH,6,924.033,1063.2625,91.0582,1099.3517,1.0948,61.4833,843.758,6,0.901,0.4909
28,No OWA risk objective,6,902.8791,1079.2313,111.9771,1153.9327,1.0948,77.3618,803.758,6,1.017,0.4508
28,No stability objective,3,924.033,1063.2625,91.0582,1099.3517,1.0948,61.4833,843.758,3,0.901,0.4909
28,No robustness buffer,2,903.5564,1081.3954,112.4181,1170.0396,1.0213,77.2289,803.758,2,0.7847,0.0468
28,No Pareto archive (scalarised),1,924.033,1063.2625,91.0582,1099.3517,0.9773,61.4833,843.758,1,0.901,0.4909
28,No alpha-cut ensemble (modal only),3,960.0037,1279.0978,211.3158,1373.9327,0.1259,89.7246,759.395,3,1.1023,0.0392
29,Full C-R-EoH,9,750.1281,785.0944,25.2076,793.1579,1.0679,23.5056,725.8091,9,0.8849,0.2762
29,No OWA risk objective,9,739.2691,813.1984,51.0795,835.1668,1.0679,40.0479,685.8091,9,0.9848,0.0058
29,No stability objective,3,750.1281,785.0944,25.2076,793.1579,1.0679,23.5283,725.8091,3,0.9049,0.3364
29,No robustness buffer,9,750.1576,785.1928,25.2371,793.1579,1.0668,24.0699,725.8091,9,0.832,0.0001
29,No Pareto archive (scalarised),1,750.1281,785.0944,25.2076,793.1579,0.977,23.5283,725.8091,1,0.9049,0.3364
29,No alpha-cut ensemble (modal only),1,739.2691,813.1984,51.0795,835.1668,0.7982,40.0479,685.8091,1,0.9848,0.0058
